Metric,TabNet Murni,After Kalibrasi (BBQ)
Accuracy,0.9762793762354491,0.9797935427190864
Precision,0.9250814332247557,0.996415770609319
Recall,0.7696476964769647,0.7533875338753387
F1-Score,0.8402366863905325,0.8580246913580247
ROC AUC,0.9936252182789514,0.9924975516485566
Brier Score,0.0368155762553215,0.014545670898509487
ECE,0.04680100760293575,0.000996400993606831
