Method,ECE,Brier Score,ECE_Improvement_%,Brier_Improvement_%
Original TabNet,0.04680100760293575,0.0368155762553215,0.0,0.0
BBQ,0.000996400993606831,0.014545670898509487,97.87098388551718,60.49044350784274
Temperature Scaling,0.04656154560718858,0.03143610060214996,0.5116599150573578,14.61195559147051
Isotonic Regression,0.00300849693925831,0.014452932240124103,93.57172613721762,60.74234411030031
